Organism/Name,Strain,Genome,TaxID,no rank,superkingdom,phylum,class,order,family,genus,genome_type,evid
Ruminiclostridium herbifermentans,MA18,GCF_005473905.2,2488810,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Classical nitrogen-fixing genomes,Yes
Pseudodesulfovibrio cashew,SRB007,GCF_009762795.1,2678688,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Classical nitrogen-fixing genomes,Yes
Candidatus Methylobacter favarea,METHB21,GCF_902806695.1,2707345,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Classical nitrogen-fixing genomes,Yes
Hydrogenophaga aromaticivorans,D2P1,GCF_013387465.1,2610898,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium glycinis,CNPSo 4016,GCF_016031655.1,2751812,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium diversitatis,CNPSo 4019,GCF_016031635.1,2755406,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium agreste,CNPSo 4010,GCF_016031625.1,2751811,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Rhizobium binae,BLR195,GCF_017357225.1,1138190,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Pseudomonas lopnurensis,AL-54,GCF_015070855.1,1477517,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Classical nitrogen-fixing genomes,Yes
Klebsiella pasteurii,SB6415,GCF_902158635.1,2587529,Klebsiella/Raoultella group,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Classical nitrogen-fixing genomes,Yes
Methanobacterium petrolearium,DSM 22353,GCF_017873625.1,710190,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Classical nitrogen-fixing genomes,Yes
Clostridium algifaecis,DSM 28783,GCF_017874415.1,1472040,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Methanobacterium aggregans,DSM 29428,GCF_017874455.1,1615586,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Classical nitrogen-fixing genomes,Yes
Azospirillum agricola,R1C,GCF_020005195.1,1720247,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Azospirillum picis,IMMIB TAR-3,GCF_017876115.1,488438,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Azospirillum rugosum,IMMIB AFH-6,GCF_017876155.1,416170,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Azospirillum soli,CC-LY788,GCF_017876165.1,1304799,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Thermoanaerobacterium butyriciformans,DSM 101588,GCF_017874545.1,1702242,cellular organisms,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,Classical nitrogen-fixing genomes,Yes
Sinorhizobium kostiense,DSM 13372,GCF_017874595.1,76747,Sinorhizobium/Ensifer group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Classical nitrogen-fixing genomes,Yes
Paenibacillus silagei,DSM 101953,GCF_017874735.1,1670801,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Xanthobacter flavus,WS4821,GCF_017875275.1,281,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium niftali,CNPSo 3448,GCF_004571025.1,2560055,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium hipponense,aSej3,GCF_008123965.1,2605638,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium archetypum,WSM 1744,GCF_013114835.1,2721160,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium australiense,WSM 1791,GCF_013114825.1,2721161,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Anaerocolumna sedimenticola,CBA3638,GCF_009931695.1,2696063,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Classical nitrogen-fixing genomes,Yes
Thiothrix unzii,A1,GCF_017901175.1,111769,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium murdochi,WSM 1741,GCF_000472965.1,1038859,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium frederickii,CNPSo 3426,GCF_004570865.1,2560054,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Martelella alba,BGMRC 2036,GCF_006516955.1,2590451,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium iriomotense,SZCCT0346,GCF_018130765.1,441950,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium denitrificans,SZCCT0094,GCF_018129525.1,328552,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Vibrio ziniensis,ZWAL4003,GCF_011064285.1,2711221,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Paenibacillus phytohabitans,LMG 31459,GCF_013141775.1,2654978,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Clostridium polyendosporum,JCM 30710,GCF_018332455.1,69208,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Novosphingobium profundi,F72,GCF_018491765.1,1774954,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Classical nitrogen-fixing genomes,Yes
Geobacter hydrogenophilus,DSM 13691,GCF_018501225.1,40983,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Classical nitrogen-fixing genomes,Yes
Geobacter grbiciae,DSM 13689,GCF_018531165.1,155042,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Classical nitrogen-fixing genomes,Yes
Geobacter chapellei,DSM 13688,GCF_018531195.1,44671,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Classical nitrogen-fixing genomes,Yes
Methylomonas paludis,S2AM,GCF_018734325.1,1173101,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium septentrionale,1S1,GCF_011516645.4,1404411,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium quebecense,12S5,GCF_017493175.3,2748629,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Acidithiobacillus ferriphilus,GT2,GCF_020844025.1,1689834,cellular organisms,Bacteria,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Classical nitrogen-fixing genomes,Yes
Clostridium lacusfryxellense,DSM 14205,GCF_018861735.1,205328,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Vibrio nitrifigilis,NFV-1,GCF_015686695.1,2789781,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Candidatus Chlorobium masyuteum,BLA1,GCF_011601315.1,2716876,Chlorobium/Pelodictyon group,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Classical nitrogen-fixing genomes,Yes
Desulfosporosinus metallidurans,OL,GCF_001936615.1,1888891,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Classical nitrogen-fixing genomes,Yes
Mesorhizobium neociceri,CCANP35,GCF_013520985.1,1307853,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Classical nitrogen-fixing genomes,Yes
Uliginosibacterium aquaticum,IMCC34675,GCF_012972705.2,2731212,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Uliginosibacterium,Classical nitrogen-fixing genomes,Yes
Pseudodesulfovibrio alkaliphilus,F-1,GCF_009729555.1,2661613,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Classical nitrogen-fixing genomes,Yes
Anaerocolumna chitinilytica,CTTW,GCF_014218355.1,1727145,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Classical nitrogen-fixing genomes,Yes
Marinobacterium ramblicola,D7,GCF_019084545.1,2849041,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Classical nitrogen-fixing genomes,Yes
Clostridium algoriphilum,DSM 16153,GCF_020443705.1,198347,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Methylococcus geothermalis,IM1,GCF_012769535.1,2681310,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Classical nitrogen-fixing genomes,Yes
Thiothrix subterranea,Ku-5,GCF_016772315.1,2735563,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Classical nitrogen-fixing genomes,Yes
Thiothrix litoralis,AS,GCF_017901135.1,2891210,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Classical nitrogen-fixing genomes,Yes
Clostridium zeae,CSC2,GCF_017312485.1,2759022,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Methylomonas albis,ElbeA,GCF_903064715.1,1854563,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Classical nitrogen-fixing genomes,Yes
Treponema zuelzerae,DSM 1903,GCF_021021555.1,156,cellular organisms,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Classical nitrogen-fixing genomes,Yes
Clostridium guangxiense,WZ_1,GCF_021043395.1,1662055,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Xanthobacter dioxanivorans,YN2,GCF_016807805.1,2528964,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Classical nitrogen-fixing genomes,Yes
Methylocystis silviterrae,FS,GCF_013350005.1,2743612,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Classical nitrogen-fixing genomes,Yes
Vibrio ulleungensis,188UL20-2,GCF_016900875.1,2807619,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Paenibacillus tianjinensis,TB2019,GCF_017086365.1,2810347,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Xanthobacter oligotrophicus,29k,GCF_008364685.1,2607286,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium oropedii,Pear76,GCF_020889685.1,1571201,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium altum,Pear77,GCF_020889705.1,1571202,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Bradyrhizobium acaciae,10BB,GCF_020889785.1,2683706,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Classical nitrogen-fixing genomes,Yes
Clostridium hydrogenum,CUEA01,GCF_021432385.1,2855764,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Azospirillum tabaci,W712,GCF_014596085.1,2752310,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Vibrio hippocampi,CECT 8226,GCF_921292975.1,654686,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Paenibacillus caui,1981/11/1 0:00,GCF_019904135.1,2873927,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Azospirillum cavernae,K2W22B-5,GCF_003590795.1,2320860,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Classical nitrogen-fixing genomes,Yes
Clostridium manihotivorum,CT4,GCF_004015185.1,2320868,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Classical nitrogen-fixing genomes,Yes
Mangrovibacterium lignilyticum,BM_7,GCF_010882175.1,2668052,cellular organisms,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Mangrovibacterium,Classical nitrogen-fixing genomes,Yes
Paenibacillus rhizophilus,7197,GCF_003854965.1,1850366,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Rahnella perminowiae,C60,GCF_019049695.1,2816244,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Classical nitrogen-fixing genomes,Yes
Novosphingobium decolorationis,502str22,GCF_018417475.1,2698673,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Classical nitrogen-fixing genomes,Yes
Paraburkholderia dioscoreae,PDMSB31,GCF_902459535.1,2604047,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Classical nitrogen-fixing genomes,Yes
Paenibacillus piscarius,P121,GCF_022234545.1,1089681,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Ectothiorhodospira variabilis,WN 22,GCF_022227625.1,505694,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,Classical nitrogen-fixing genomes,Yes
Paenibacillus monticola,LC-T2,GCF_009664975.1,2666075,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Classical nitrogen-fixing genomes,Yes
Nodularia sphaerocarpa UHCC 0038,UHCC 0038,GCF_022376295.1,2761619,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Nodularia,Classical nitrogen-fixing genomes,Yes
Vibrio albus,E4404,GCF_003144035.1,2200953,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Classical nitrogen-fixing genomes,Yes
Geobacter benzoatilyticus,Jerry-YX,GCF_017338855.1,2815309,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Classical nitrogen-fixing genomes,Yes
Paraburkholderia podalyriae,WC7.3b,GCF_014397785.1,1938811,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Classical nitrogen-fixing genomes,Yes
Rhizobium cremeum,W16,GCF_022884085.1,2813827,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Classical nitrogen-fixing genomes,Yes
Desulfuromonas acetoxidans,DSM 1676,GCF_013371475.1,891,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,Classical nitrogen-fixing genomes,No
Syntrophobacter fumaroxidans MPOB,MPOB,GCF_000014965.1,335543,cellular organisms,Bacteria,Thermodesulfobacteriota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,Classical nitrogen-fixing genomes,No
Syntrophotalea carbinolica DSM 2380,DSM 2380,GCF_000012885.1,338963,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Classical nitrogen-fixing genomes,No
Desulforamulus reducens MI-1,MI-1,GCF_000016165.1,349161,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Desulforamulus,Classical nitrogen-fixing genomes,No
Heliomicrobium modesticaldum Ice1,Ice1; ATCC 51547,GCF_000019165.1,498761,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Heliobacteriaceae,Heliomicrobium,Classical nitrogen-fixing genomes,No
Roseiflexus castenholzii DSM 13941,DSM 13941,GCF_000017805.1,383372,cellular organisms,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Classical nitrogen-fixing genomes,No
Caldicellulosiruptor saccharolyticus DSM 8903,DSM 8903,GCF_000016545.1,351627,cellular organisms,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Classical nitrogen-fixing genomes,No
Mariprofundus ferrooxydans,O-1,GCF_011947535.1,314344,cellular organisms,Bacteria,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Classical nitrogen-fixing genomes,No
Solidesulfovibrio magneticus RS-1,RS-1,GCF_000010665.1,573370,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio,Classical nitrogen-fixing genomes,No
Geotalea uraniireducens Rf4,Rf4,GCF_000016745.1,351605,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,Classical nitrogen-fixing genomes,No
Trichlorobacter lovleyi SZ,SZ,GCF_000020385.1,398767,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,Classical nitrogen-fixing genomes,No
Methanoregula boonei 6A8,6A8,GCF_000017625.1,456442,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Classical nitrogen-fixing genomes,No
Methanocella arvoryzae MRE50,MRE50,GCF_000063445.1,351160,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Classical nitrogen-fixing genomes,No
Leptothrix cholodnii SP-6,SP-6,GCF_000019785.1,395495,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,Classical nitrogen-fixing genomes,No
Desulforapulum autotrophicum HRM2,HRM2,GCF_000020365.1,177437,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulforapulum,Classical nitrogen-fixing genomes,No
Candidatus Desulforudis audaxviator,BYF,GCF_003932015.1,471827,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Candidatus Desulforudis,Classical nitrogen-fixing genomes,No
Alkaliphilus metalliredigens QYMF,QYMF,GCF_000016985.1,293826,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Classical nitrogen-fixing genomes,No
Methanosphaerula palustris E1-9c,E1-9c,GCF_000021965.1,521011,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Classical nitrogen-fixing genomes,No
Candidatus Accumulibacter phosphatis,Bin19,GCF_005889575.1,327160,Betaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Betaproteobacteria,,,Candidatus Accumulibacter,Classical nitrogen-fixing genomes,No
Maridesulfovibrio salexigens DSM 2638,DSM 2638,GCF_000023445.1,526222,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Maridesulfovibrio,Classical nitrogen-fixing genomes,No
Leadbettera azotonutricia ZAS-9,ZAS-9,GCF_000214355.1,545695,cellular organisms,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Breznakiellaceae,Leadbettera,Classical nitrogen-fixing genomes,No
Thermodesulfovibrio yellowstonii DSM 11347,DSM 11347,GCF_000020985.1,289376,cellular organisms,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Classical nitrogen-fixing genomes,No
Dethiobacter alkaliphilus AHT 1,AHT 1,GCF_000174415.1,555088,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Dethiobacter,Classical nitrogen-fixing genomes,No
Desulfonatronospira thiodismutans ASO3-1,ASO3-1,GCF_000174435.1,555779,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfonatronovibrionaceae,Desulfonatronospira,Classical nitrogen-fixing genomes,No
Ilyobacter polytropus DSM 2926,DSM 2926,GCF_000165505.1,572544,cellular organisms,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,Classical nitrogen-fixing genomes,No
Methanocaldococcus infernus ME,ME,GCF_000092305.1,573063,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Classical nitrogen-fixing genomes,No
Desulfobulbus propionicus DSM 2032,DSM 2032,GCF_000186885.1,577650,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Classical nitrogen-fixing genomes,No
Methanocaldococcus vulcanius M7,M7,GCF_000024625.1,579137,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Classical nitrogen-fixing genomes,No
Sideroxydans lithotrophicus ES-1,ES-1,GCF_000025705.1,580332,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,Classical nitrogen-fixing genomes,No
Coraliomargarita akajimensis DSM 45221,DSM 45221,GCF_000025905.1,583355,cellular organisms,Bacteria,Verrucomicrobiota,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Classical nitrogen-fixing genomes,No
Desulfurivibrio alkaliphilus AHT 2,AHT 2,GCF_000092205.1,589865,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfurivibrio,Classical nitrogen-fixing genomes,No
Tolumonas auensis DSM 9187,DSM 9187,GCF_000023065.1,595494,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Classical nitrogen-fixing genomes,No
Syntrophothermus lipocalidus DSM 12680,DSM 12680,GCF_000092405.1,643648,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophothermus,Classical nitrogen-fixing genomes,No
Desulfarculus baarsii DSM 2075,DSM 2075,GCF_000143965.1,644282,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfarculia,Desulfarculales,Desulfarculaceae,Desulfarculus,Classical nitrogen-fixing genomes,No
Desulfurispirillum indicum S5,S5,GCF_000177635.2,653733,cellular organisms,Bacteria,Chrysiogenota,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,Classical nitrogen-fixing genomes,No
Thermodesulfatator indicus DSM 15286,DSM 15286,GCF_000217795.1,667014,cellular organisms,Bacteria,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator,Classical nitrogen-fixing genomes,No
