test,GCF,main,evid,V1,Organism/Name,Strain,TaxID,no rank,superkingdom,phylum,class,order,family,genus,count,rename_phylum,phylum_size,rename_class,class_size,nifHDK
GCF_900476035.1_53694_C01_protein,GCF_900476035.1,,,1285,Aggregatibacter segnis ATCC 33393,NCTC10977,888057,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_019048625.1_ASM1904862v1_protein,GCF_019048625.1,,,1287,Enterobacter hormaechei,FDAARGOS 1435,158836,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900475885.1_49595_C01_protein,GCF_900475885.1,,,1289,Haemophilus aegyptius,NCTC8502,197575,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900451365.1_50569_C01_protein,GCF_900451365.1,,,1290,Kingella denitrificans,NCTC10995,502,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_014055025.1_ASM1405502v1_protein,GCF_014055025.1,,,1291,Neisseria bacilliformis,DSM 23338,267212,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_900080145.1_TREMTM_protein,GCF_900080145.1,,,1302,Candidatus Tremblaya princeps,TREMTM,189385,Betaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Betaproteobacteria,,,Candidatus Tremblaya,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_000364725.1_ASM36472v1_protein,GCF_000364725.1,,,1303,Candidatus Moranella endobia PCVAL,PCVAL,1234603,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Moranella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000214665.1_ASM21466v1_protein,GCF_000214665.1,Classical nitrogen-fixing genomes,Yes,1305,Methylomonas methanica MC09,MC09,857087,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_001908725.1_ASM190872v1_protein,GCF_001908725.1,,,1318,Xanthomonas vesicatoria ATCC 35937,LMG911,925775,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_020879715.1_ASM2087971v1_protein,GCF_020879715.1,,,1319,Xanthomonas perforans,DC05T6,442694,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000198775.1_ASM19877v1_protein,GCF_000198775.1,,,1325,Mycetohabitans rhizoxinica HKI 454,HKI 454,882378,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Mycetohabitans,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_014169735.1_ASM1416973v1_protein,GCF_014169735.1,,,1328,Aeromonas caviae,WP8-S18-ESBL-04,648,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000024085.1_ASM2408v1_protein,GCF_000024085.1,,,1372,Kangiella koreensis DSM 16069,DSM 16069,523791,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Kangiellales,Kangiellaceae,Kangiella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_007632255.1_ASM763225v1_protein,GCF_007632255.1,,,1379,Klebsiella aerogenes,Ka37751,548,Klebsiella/Raoultella group,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_002738225.1_ASM273822v1_protein,GCF_002738225.1,,,1385,Acetobacter pomorum,LHT 2458,65959,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_900174455.1_NEW_PRJEB5721_protein,GCF_900174455.1,Classical nitrogen-fixing genomes,Yes,1387,Acidithiobacillus ferrivorans,PRJEB5721,160808,cellular organisms,Bacteria,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,1,Pseudomonadota,6025,other class,10,HDK
GCF_011765605.1_ASM1176560v1_protein,GCF_011765605.1,,,1393,Avibacterium paragallinarum,ESV-135,728,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_022014715.1_ASM2201471v1_protein,GCF_022014715.1,,,1394,Enterobacter mori,ACYC.E9L,539813,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000224005.2_ASM22400v3_protein,GCF_000224005.2,Classical nitrogen-fixing genomes,Yes,1395,Marichromatium purpuratum 984,984,765910,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000253015.1_ASM25301v1_protein,GCF_000253015.1,,,1396,Bartonella clarridgeiae 73,73,696125,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000204545.1_WVB_1.0_protein,GCF_000204545.1,,,1397,Wolbachia endosymbiont wVitB of Nasonia vitripennis,wVitB,941258,unclassified Wolbachia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000189255.1_ASM18925v1_protein,GCF_000189255.1,,,1398,Vibrio brasiliensis LMG 20546,LMG 20546,945543,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_023195835.1_ASM2319583v1_protein,GCF_023195835.1,,,1400,Vibrio sinaloensis,YA2,379097,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000192575.1_NovNit_2.0_protein,GCF_000192575.1,Classical nitrogen-fixing genomes,Yes,1402,Novosphingobium nitrogenifigens DSM 19370,DSM 19370,983920,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_000224065.1_ASM22406v1_protein,GCF_000224065.1,Alternative nitrogen-fixing genomes,Yes,1403,Thiorhodococcus drewsii AZ1,AZ1,765913,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodococcus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000314935.1_ASM31493v1_protein,GCF_000314935.1,,,1404,Paraglaciecola agarilytica NO2,NO2,1125747,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000223985.1_ASM22398v1_protein,GCF_000223985.1,Classical nitrogen-fixing genomes,No,1407,Thiocapsa marina 5811,5811,768671,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocapsa,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000190415.1_ASM19041v1_protein,GCF_000190415.1,,,1409,Candidatus Odyssella thessalonicensis L13,L13,985867,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Odyssella,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_011365705.1_ASM1136570v1_protein,GCF_011365705.1,Classical nitrogen-fixing genomes,Yes,1411,Rubrivivax benzoatilyticus,JA2-Mal,316997,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Rubrivivax,1,Pseudomonadota,6025,Betaproteobacteria,955,HDK
GCF_002214395.1_ASM221439v1_protein,GCF_002214395.1,,,1412,Vibrio rotiferianus,B64D1,190895,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000192745.1_ASM19274v1_protein,GCF_000192745.1,,,1418,Polymorphum gilvum SL003B-26A1,SL003B-26A1,991905,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Polymorphum,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000202835.1_ASM20283v1_protein,GCF_000202835.1,,,1419,Acidiphilium multivorum AIU301,AIU301,926570,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidiphilium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000193225.1_ASM19322v1_protein,GCF_000193225.1,,,1420,Verminephrobacter aporrectodeae subsp. tuberculatae At4,At4,565443,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_008693705.1_ASM869370v1_protein,GCF_008693705.1,,,1421,Aeromonas veronii,FDAARGOS_632,654,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000204195.1_ASM20419v1_protein,GCF_000204195.1,,,1424,Acidovorax radicis N35,N35,999386,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_016698705.1_ASM1669870v1_protein,GCF_016698705.1,,,1426,Burkholderia gladioli,BBB-01,28095,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_000478565.1_ASM47856v1_protein,GCF_000478565.1,,,1427,Methyloversatilis universalis Fam500,Fam500,983952,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_022749495.1_ASM2274949v1_protein,GCF_022749495.1,,,1429,Neisseria macacae ATCC 33926,ATCC 33926,997348,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_008370715.1_ASM837071v1_protein,GCF_008370715.1,,,1441,Pseudomonas brassicacearum,3Re2-7,930166,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000211495.1_ASM21149v1_protein,GCF_000211495.1,,,1442,Photobacterium leiognathi subsp. mandapamensis svers.1.1.,svers.1.1.,1001530,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000772365.1_ASM77236v1_protein,GCF_000772365.1,,,1443,Gallibacterium anatis,12158-5,750,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000214595.1_ASM21459v1_protein,GCF_000214595.1,,,1453,Methylophaga aminisulfidivorans MP,MP,1026882,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900477945.1_45473_H02_protein,GCF_900477945.1,,,1456,Haemophilus haemolyticus,NCTC10839,726,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000215955.2_SSPSH_V2_protein,GCF_000215955.2,,,1463,Salinisphaera shabanensis E1L3A,E1L3A,1033802,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900186995.1_50465_A02_protein,GCF_900186995.1,,,1465,Haemophilus pittmaniae,NCTC13334,249188,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000521505.1_ASM52150v1_protein,GCF_000521505.1,,,1466,Advenella mimigardefordensis DPN7,DPN7,1247726,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_900155945.1_IMG-taxon_2681813548_annotated_assembly_protein,GCF_900155945.1,,,1472,Marinobacterium stanieri,DSM 7027,49186,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900638685.1_58882_C02_protein,GCF_900638685.1,,,1480,Neisseria weaveri,NCTC12742,28091,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_002803295.2_ASM280329v2_protein,GCF_002803295.2,,,1481,Caedibacter taeniospiralis,51K,28907,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Caedibacter,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_019048385.1_ASM1904838v1_protein,GCF_019048385.1,,,1482,Pantoea agglomerans,FDAARGOS 1447,549,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_001050675.1_ASM105067v1_protein,GCF_001050675.1,,,1490,Vibrio nigripulchritudo POn4,POn4,1238445,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_001580945.1_ASM158094v1_protein,GCF_001580945.1,,,1492,Acetobacter tropicalis,LMG 1663,104102,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000224925.1_ASM22492v1_protein,GCF_000224925.1,,,1494,endosymbiont of Tevnia jerichonana (vent Tica),-,1049564,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000224455.1_ASM22445v1_protein,GCF_000224455.1,,,1495,endosymbiont of Riftia pachyptila (vent Ph05),-,1048808,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,,,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_003315515.1_ASM331551v1_protein,GCF_003315515.1,Alternative nitrogen-fixing genomes,No,1497,Brenneria salicis ATCC 15712 = DSM 30166,DSM 30166,714314,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000730165.1_ASM73016v2_protein,GCF_000730165.1,Classical nitrogen-fixing genomes,Yes,1500,Nitrospirillum amazonense CBAmc,CBAmC,1441467,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Nitrospirillum,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_002940085.1_ASM294008v1_protein,GCF_002940085.1,,,1502,Xanthomonas sacchari,CFBP4641,56458,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_020419785.1_ASM2041978v1_protein,GCF_020419785.1,,,1503,Burkholderia cepacia,AU41368,292,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_011617105.1_ASM1161710v1_protein,GCF_011617105.1,,,1509,Hafnia alvei,A23BA,569,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000754995.1_PVA_protein,GCF_000754995.1,,,1517,Proteus vulgaris,ATCC 49132,585,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_002163605.1_ASM216360v1_protein,GCF_002163605.1,,,1519,Tatumella citrea,ATCC 39140,53336,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_018138105.1_ASM1813810v1_protein,GCF_018138105.1,,,1520,Agrobacterium rhizogenes,A4,359,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000444995.1_ASM44499v1_protein,GCF_000444995.1,,,1522,Paracoccus aminophilus JCM 7686,JCM 7686,1367847,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_001005725.1_ASM100572v1_protein,GCF_001005725.1,,,1533,Sphingobium chungbukense,DJ77,56193,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000226625.1_ASM22662v1_protein,GCF_000226625.1,,,1537,Taylorella asinigenitalis MCE3,MCE3,1008459,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Taylorella,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_000226565.1_ASM22656v1_protein,GCF_000226565.1,,,1538,Glaciecola nitratireducens FR1064,FR1064,1085623,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_900445155.1_52067_E01_protein,GCF_900445155.1,,,1539,Afipia felis,NCTC12499,1035,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000226955.1_ASM22695v2_protein,GCF_000226955.1,,,1541,Sphingomonas elodea ATCC 31461,ATCC 31461,1081640,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_009662475.1_ASM966247v1_protein,GCF_009662475.1,,,1543,Acidithiobacillus thiooxidans ATCC 19377,ATCC 19377,637390,cellular organisms,Bacteria,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,1,Pseudomonadota,6025,other class,10,
GCF_014054965.1_ASM1405496v1_protein,GCF_014054965.1,,,1544,Neisseria shayeganii,DSM 22244,607712,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_902387845.1_UHGG_MGYG-HGUT-02512_protein,GCF_902387845.1,,,1546,Morganella morganii,MGYG-HGUT-02512,582,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_002173515.1_ASM217351v1_protein,GCF_002173515.1,,,1550,Komagataeibacter europaeus,SRCM101446,33995,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_018491655.1_ASM1849165v1_protein,GCF_018491655.1,,,1551,Komagataeibacter oboediens,IMBG 311,65958,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000227585.1_ASM22758v1_protein,GCF_000227585.1,,,1552,Candidatus Glomeribacter gigasporarum BEG34,BEG34,1070319,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus Glomeribacter,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_000227665.2_ASM22766v3_protein,GCF_000227665.2,,,1554,Thiomicrospira aerophila AL3,AL3,717772,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrospira,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000385215.1_ASM38521v1_protein,GCF_000385215.1,,,1555,Thioalkalivibrio thiocyanoxidans ARh2,ARh2,1279019,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000227745.2_ASM22774v3_protein,GCF_000227745.2,Classical nitrogen-fixing genomes,Yes,1556,Thiocystis violascens DSM 198,DSM 198,765911,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000227725.2_ASM22772v3_protein,GCF_000227725.2,Classical nitrogen-fixing genomes,Yes,1557,Thiorhodospira sibirica ATCC 700588,ATCC 700588,765914,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thiorhodospira,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_014054885.1_ASM1405488v1_protein,GCF_014054885.1,,,1558,Neisseria wadsworthii,DSM 22245,607711,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,1,Pseudomonadota,6025,Betaproteobacteria,955,
GCF_000023565.1_ASM2356v1_protein,GCF_000023565.1,,,1559,Dickeya chrysanthemi Ech1591,Ech1591,561229,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000530755.1_W_O_volvulus_Cameroon_v3_protein,GCF_000530755.1,,,1568,Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon,Cameroon,1410384,unclassified Wolbachia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_007827425.1_ASM782742v1_protein,GCF_007827425.1,Classical nitrogen-fixing genomes,Yes,1571,Azospirillum brasilense,Sp 7,192,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_000953655.1_LHA_protein,GCF_000953655.1,,,1578,Legionella hackeliae,ATCC35250,449,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_000330885.1_ASM33088v1_protein,GCF_000330885.1,Classical nitrogen-fixing genomes,Yes,1580,Rhizobium tropici CIAT 899,CIAT 899,698761,Rhizobium/Agrobacterium group,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,1,Pseudomonadota,6025,Alphaproteobacteria,2331,HDK
GCF_002906475.1_ASM290647v1_protein,GCF_002906475.1,,,1581,Vibrio campbellii,BoB-53,680,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_009664085.1_ASM966408v1_protein,GCF_009664085.1,Classical nitrogen-fixing genomes,No,1583,Thermochromatium tepidum ATCC 43061,ATCC 43061,316276,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thermochromatium,1,Pseudomonadota,6025,Gammaproteobacteria,2715,HDK
GCF_000237845.1_ASM23784v1_protein,GCF_000237845.1,,,1585,Rickettsia slovaca 13-B,13-B,941638,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_013096725.2_ASM1309672v2_protein,GCF_013096725.2,,,1593,Wolbachia endosymbiont of Diaphorina citri,KPSwDI05P26,116598,unclassified Wolbachia,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,1,Pseudomonadota,6025,Alphaproteobacteria,2331,
GCF_000412335.2_ASM41233v2_protein,GCF_000412335.2,,,1594,Cedecea davisae DSM 4568,DSM 4568,566551,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_002813445.1_ASM281344v1_protein,GCF_002813445.1,,,1595,Pseudomonas tolaasii NCPPB 2192,NCPPB 2192,564423,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
GCF_014773485.1_ASM1477348v1_protein,GCF_014773485.1,,,1596,Erwinia aphidicola,JCM 21238,68334,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,1,Pseudomonadota,6025,Gammaproteobacteria,2715,
